# timestamp [ns], vertex-id, mission-id, p_G_Ix [m], p_G_Iy [m], p_G_Iz [m], q_G_Iw, q_G_Ix, q_G_Iy, q_G_Iz, p_M_Ix [m], p_M_Iy [m], p_M_Iz [m], q_M_Iw, q_M_Ix, q_M_Iy, q_M_Iz, v_Mx [m/s], v_My [m/s], v_Mz [m/s], bgx [rad/s], bgy [rad/s], bgz [rad/s], bax [m/s^2], bay [m/s^2], baz [m/s^2]
1605267697379541522, a374d5c74f955f164100000000000000, 760ba2054f955f160f00000000000000, -2.85411853073844, -1.0455179565847, 0.558053717340842, 0.559633401402322, 0.0077641774383132, 0.00598780724339978, 0.828682279132352, -2.85411853073844, -1.0455179565847, 0.558053717340842, 0.559633401402322, 0.0077641774383132, 0.00598780724339978, 0.828682279132352, -0.00598470047402632, -0.00100565810586904, 0.00296954509463234, -0.00309967841611201, -0.0042211310627039, 0.00119736265455866, -0.0668853414509245, -0.296880806838083, 0.127186551762764
1605267703579433805, 37c6d03051955f16a102000000000000, 760ba2054f955f160f00000000000000, -2.85412959191704, -1.04538279622123, 0.557779237907712, 0.559675344804188, 0.00777558017505014, 0.00595363251288281, 0.828654091301767, -2.85412959191704, -1.04538279622123, 0.557779237907712, 0.559675344804188, 0.00777558017505014, 0.00595363251288281, 0.828654091301767, 0.00145186982264028, 0.00179653468792609, -0.00234554285649996, -0.00309967609871333, -0.00422126190052949, 0.00119746328608006, -0.0668858981374628, -0.296887008636281, 0.127010753951644
1605267704379416114, b69faf5f51955f16f102000000000000, 760ba2054f955f160f00000000000000, -2.853403708023, -1.04471876071594, 0.556831949082659, 0.559754886073897, 0.00773163581267142, 0.00567716604992915, 0.828602714881927, -2.853403708023, -1.04471876071594, 0.556831949082659, 0.559754886073897, 0.00773163581267142, 0.00567716604992915, 0.828602714881927, -0.000146715418083606, -0.000970451094881931, 0.00042248149535472, -0.00309976788463059, -0.00422128572480413, 0.00119748265753479, -0.0668828890376527, -0.296890467145345, 0.126954119639587
1605267705479409820, d7bb87b651955f168e1f000000000000, 760ba2054f955f160f00000000000000, -2.85416929333353, -1.04539498240493, 0.558413420866417, 0.559683342700453, 0.00784319883529402, 0.00599907583017997, 0.828647724443181, -2.85416929333353, -1.04539498240493, 0.558413420866417, 0.559683342700453, 0.00784319883529402, 0.00599907583017997, 0.828647724443181, 0.000114502722356728, 8.61427871719687e-05, 0.000638460133038213, -0.00309982516373346, -0.00422129670685965, 0.00119752312320258, -0.0668581892749224, -0.29690536783787, 0.126948462438271
1605267706479392415, e8cf99df51955f16d61f000000000000, 760ba2054f955f160f00000000000000, -2.85395696340939, -1.04525283703628, 0.558254389488166, 0.559710932650935, 0.0078085534048757, 0.00594994217962675, 0.828629770496331, -2.85395696340939, -1.04525283703628, 0.558254389488166, 0.559710932650935, 0.0078085534048757, 0.00594994217962675, 0.828629770496331, -0.000165059830262553, 0.00100939631724165, 0.000242676855175389, -0.00309986592043581, -0.00422129896941842, 0.00119757999048209, -0.0668247831028618, -0.296930345777581, 0.126871421677502
1605267707579376346, e373812152955f164420000000000000, 760ba2054f955f160f00000000000000, -2.85498109882878, -1.0453128380297, 0.558880862871991, 0.559686499297809, 0.00797207703887514, 0.00605683394035854, 0.828643942386638, -2.85498109882878, -1.0453128380297, 0.558880862871991, 0.559686499297809, 0.00797207703887514, 0.00605683394035854, 0.828643942386638, 0.000196581493327763, -0.00143689328084826, -0.00034158305554804, -0.00309990165777818, -0.00422136967010248, 0.00119763878397039, -0.066757957758315, -0.296940606736559, 0.126850072954557
1605267708579360610, 01ae285c52955f16a920000000000000, 760ba2054f955f160f00000000000000, -2.85400328865407, -1.04553171432222, 0.557899003022774, 0.559668046043746, 0.00783686806772385, 0.00590136819564915, 0.828658817360851, -2.85400328865407, -1.04553171432222, 0.557899003022774, 0.559668046043746, 0.00783686806772385, 0.00590136819564915, 0.828658817360851, 0.00170439367834351, -0.000515976971451454, -0.000915728597323175, -0.00309993535428029, -0.00422150668208695, 0.00119768955580416, -0.0666929715187955, -0.296953187939816, 0.126812181664394
1605267709679345733, 27e57b9d52955f161721000000000000, 760ba2054f955f160f00000000000000, -2.85420687068253, -1.0452622543476, 0.558093458884344, 0.559718822928689, 0.00783911418038701, 0.00595450927370563, 0.82862411947004, -2.85420687068253, -1.0452622543476, 0.558093458884344, 0.559718822928689, 0.00783911418038701, 0.00595450927370563, 0.82862411947004, -1.10183358015561e-05, 0.000168918914319763, 0.000529167273202333, -0.00310004269006272, -0.00422163945986872, 0.00119771346189081, -0.0665867335306403, -0.296962250452021, 0.126863606581226
1605267710679356700, b4265fd752955f167b21000000000000, 760ba2054f955f160f00000000000000, -2.85458979346615, -1.04532502203012, 0.558481406451772, 0.559731046743752, 0.00792542930341346, 0.00598734782366508, 0.828614804687642, -2.85458979346615, -1.04532502203012, 0.558481406451772, 0.559731046743752, 0.00792542930341346, 0.00598734782366508, 0.828614804687642, 0.000687081245318431, -7.49159799753615e-05, -0.000514297845989166, -0.00310014488085337, -0.00422178119569268, 0.00119769192829677, -0.0664777891163472, -0.296977332195564, 0.126937412967904
1605267711679340965, 6f883a1453955f16e021000000000000, 760ba2054f955f160f00000000000000, -2.85442923771664, -1.04535071232963, 0.558229582267439, 0.559662987995688, 0.00786676436594342, 0.0060365192300962, 0.828660976709857, -2.85442923771664, -1.04535071232963, 0.558229582267439, 0.559662987995688, 0.00786676436594342, 0.0060365192300962, 0.828660976709857, -0.00020763503506224, -0.000190539359034591, 0.000416402433292236, -0.00310023081092992, -0.00422196122831458, 0.001197666708463, -0.0663376260671161, -0.296983373333789, 0.126990569880511
1605267712779328472, 697f955553955f164e22000000000000, 760ba2054f955f160f00000000000000, -2.85439526548081, -1.04561842434577, 0.558138839396187, 0.559663177853205, 0.00778298479716533, 0.00607485012046568, 0.828661359482215, -2.85439526548081, -1.04561842434577, 0.558138839396187, 0.559663177853205, 0.00778298479716533, 0.00607485012046568, 0.828661359482215, 6.98219700444962e-05, 0.00081951583185845, 4.75181855672139e-05, -0.00310031500234826, -0.00422221261108464, 0.00119766872486471, -0.0661761728280393, -0.296990456856042, 0.12701257082145
1605267713779315597, 5b91589453955f16b722000000000000, 760ba2054f955f160f00000000000000, -2.85467738534645, -1.04554261927955, 0.558455797268841, 0.559727022193806, 0.00795026864422315, 0.00610530772124495, 0.828616424573016, -2.85467738534645, -1.04554261927955, 0.558455797268841, 0.559727022193806, 0.00795026864422315, 0.00610530772124495, 0.828616424573016, 0.000927248150074852, -0.000901244078941915, 1.26517133353097e-06, -0.00310036701486319, -0.0042224281621064, 0.00119767263194294, -0.0660196653328396, -0.296986988711756, 0.127044891916588
1605267714879302865, ef10a13454955f16f444000000000000, 760ba2054f955f160f00000000000000, -2.85381688852369, -1.04541969110809, 0.558152562106007, 0.559689539034957, 0.0078261674696767, 0.00593100493278769, 0.828644190336275, -2.85381688852369, -1.04541969110809, 0.558152562106007, 0.559689539034957, 0.0078261674696767, 0.00593100493278769, 0.828644190336275, 0.000689718575987705, 0.0006768885827034, -0.000808724795503421, -0.00310047178250949, -0.00422263443808459, 0.00119766234717067, -0.0658308924963295, -0.296979847661927, 0.127061240615799
1605267715879289752, 0dafa73454955f160845000000000000, 760ba2054f955f160f00000000000000, -2.85448379408331, -1.04527967294827, 0.558185145017088, 0.559704760791363, 0.00792303196362533, 0.00597004032564888, 0.828632708098405, -2.85448379408331, -1.04527967294827, 0.558185145017088, 0.559704760791363, 0.00792303196362533, 0.00597004032564888, 0.828632708098405, -0.000493710794123213, -0.000220463852729101, -0.000495967463558809, -0.0031005506340571, -0.00422285801294735, 0.00119765347363575, -0.0656305026809847, -0.296955489138632, 0.127038674301005
