# timestamp [ns], vertex-id, mission-id, p_G_Ix [m], p_G_Iy [m], p_G_Iz [m], q_G_Iw, q_G_Ix, q_G_Iy, q_G_Iz, p_M_Ix [m], p_M_Iy [m], p_M_Iz [m], q_M_Iw, q_M_Ix, q_M_Iy, q_M_Iz, v_Mx [m/s], v_My [m/s], v_Mz [m/s], bgx [rad/s], bgy [rad/s], bgz [rad/s], bax [m/s^2], bay [m/s^2], baz [m/s^2]
1605267697379541522, 183150d9608d5f164100000000000000, f209ca6c5f8d5f160f00000000000000, -0.0206052117542516, 0.0536872458390527, 0.0717889379539049, 0.999979398203745, -0.00432923034690333, 0.00192936615701944, 0.00432879647388409, -0.0206052117542516, 0.0536872458390527, 0.0717889379539049, 0.999979398203745, -0.00432923034690333, 0.00192936615701944, 0.00432879647388409, -0.0329590618854436, 0.0284264165970805, 0.00142633903301446, -0.00130032544500346, -0.0017918504126018, 0.000400907488639984, 0.0690433199013674, -0.0655379164497083, 0.123977034433891
1605267700479488021, 5068e187618d5f166a01000000000000, f209ca6c5f8d5f160f00000000000000, -0.0232976708200646, 0.055328976313568, 0.0716897713220052, 0.999980991211722, -0.00418302470463516, 0.0019284955671753, 0.00409883207621314, -0.0232976708200646, 0.055328976313568, 0.0716897713220052, 0.999980991211722, -0.00418302470463516, 0.0019284955671753, 0.00409883207621314, -0.0365913714179921, 0.0281928035380467, 0.00114737625088555, -0.00139455512513168, -0.00191739455828217, 0.000441501936770509, 0.0708548489295298, -0.0670459959947267, 0.124083879796406
1605267701579470044, 76c85dc9618d5f16d801000000000000, f209ca6c5f8d5f160f00000000000000, -0.0188853882619744, 0.0551771191129951, 0.0712164610113224, 0.999981255907039, -0.00404328569830623, 0.00235345540291158, 0.00394980037586906, -0.0188853882619744, 0.0551771191129951, 0.0712164610113224, 0.999981255907039, -0.00404328569830623, 0.00235345540291158, 0.00394980037586906, -0.0295477249756078, 0.0256868175437186, 0.00102475915015765, -0.00143196152774817, -0.00196854969700206, 0.000457623888863627, 0.0715496986529105, -0.0676549979577278, 0.124139860452682
1605267704379416114, c3d10871628d5f169f17000000000000, f209ca6c5f8d5f160f00000000000000, -0.0191523331536596, 0.0529613601444077, 0.0715993059660955, 0.999984308977652, -0.0036405313823075, 0.00211278129668202, 0.00369655041021262, -0.0191523331536596, 0.0529613601444077, 0.0715993059660955, 0.999984308977652, -0.0036405313823075, 0.00211278129668202, 0.00369655041021262, -0.0324278950435078, 0.0209691638097593, 0.00281169304903951, -0.0015173627534644, -0.00208067226777192, 0.00049402600173998, 0.0731114138840489, -0.0689332627453893, 0.124268608270045
1605267705479409820, cc2a3db2628d5f160d18000000000000, f209ca6c5f8d5f160f00000000000000, -0.0218825760692087, 0.0523976714395231, 0.0720951384658244, 0.999983716370938, -0.00376924519156699, 0.00224722431184229, 0.0036482552742299, -0.0218825760692087, 0.0523976714395231, 0.0720951384658244, 0.999983716370938, -0.00376924519156699, 0.00224722431184229, 0.0036482552742299, -0.0326064825910101, 0.0205441132369673, 0.00234529130270292, -0.00154769493174946, -0.00212548907064054, 0.000506813061469516, 0.0736440152742777, -0.0693708488308395, 0.124356703881481
1605267706479392415, 37a609f1628d5f167218000000000000, f209ca6c5f8d5f160f00000000000000, -0.0214375160163285, 0.0499576190240529, 0.0705128582650887, 0.999983752492329, -0.0037647577410332, 0.00239080082920371, 0.00355041151249741, -0.0214375160163285, 0.0499576190240529, 0.0705128582650887, 0.999983752492329, -0.0037647577410332, 0.00239080082920371, 0.00355041151249741, -0.0302765391621026, 0.0200159459134424, 0.00103729534842807, -0.00157557186475871, -0.00216712526417922, 0.000519637128888608, 0.0741903826013551, -0.0698530521746554, 0.124454442513698
1605267707579376346, d206ce31638d5f16e018000000000000, f209ca6c5f8d5f160f00000000000000, -0.0213376782458973, 0.0521471361763774, 0.0691803719138887, 0.99998323501436, -0.00377700366999099, 0.00257698059527423, 0.00355290085748893, -0.0213376782458973, 0.0521471361763774, 0.0691803719138887, 0.99998323501436, -0.00377700366999099, 0.00257698059527423, 0.00355290085748893, -0.0292376530776143, 0.0248562806354998, -0.000348860197557058, -0.00160289789342525, -0.00221026948179831, 0.000532764734155377, 0.0747082512755, -0.070372913553553, 0.12450935302147
1605267708579360610, 3f73f96b638d5f164519000000000000, f209ca6c5f8d5f160f00000000000000, -0.01808884911514, 0.0512934602128073, 0.0678418898239327, 0.999983497128918, -0.00357898900344052, 0.00281522772864826, 0.00350297022091759, -0.01808884911514, 0.0512934602128073, 0.0678418898239327, 0.999983497128918, -0.00357898900344052, 0.00281522772864826, 0.00350297022091759, -0.0234754051043246, 0.0220577548305823, -0.0010143931255982, -0.00163267724848593, -0.00224774864987122, 0.000545762973531752, 0.0752374286488686, -0.0708300918772756, 0.124519928170111
1605267709679345733, b03275ad638d5f16b319000000000000, f209ca6c5f8d5f160f00000000000000, -0.021146869346656, 0.052454640727151, 0.0671346610683908, 0.999984578136119, -0.0034542056540086, 0.00251848387701762, 0.00354530565523539, -0.021146869346656, 0.052454640727151, 0.0671346610683908, 0.999984578136119, -0.0034542056540086, 0.00251848387701762, 0.00354530565523539, -0.0282909402029715, 0.0221467760930738, -0.00046982999156612, -0.00166141503700073, -0.00228012976982721, 0.000558278388578126, 0.0757943129163934, -0.0712547432207946, 0.124523116625149
1605267710679356700, 7fc9ffe9638d5f16171a000000000000, f209ca6c5f8d5f160f00000000000000, -0.0179001958954209, 0.0495048345769439, 0.068496804384284, 0.999984344512313, -0.00340826191271258, 0.00273577504818194, 0.00349428331704857, -0.0179001958954209, 0.0495048345769439, 0.068496804384284, 0.999984344512313, -0.00340826191271258, 0.00273577504818194, 0.00349428331704857, -0.0253628983026964, 0.0169518347189603, 0.000123114410576142, -0.00169070264727227, -0.00231974115217617, 0.000572352717398991, 0.0763837248871297, -0.0717459856106546, 0.124495898084204
