# timestamp [ns], vertex-id, mission-id, p_G_Ix [m], p_G_Iy [m], p_G_Iz [m], q_G_Iw, q_G_Ix, q_G_Iy, q_G_Iz, p_M_Ix [m], p_M_Iy [m], p_M_Iz [m], q_M_Iw, q_M_Ix, q_M_Iy, q_M_Iz, v_Mx [m/s], v_My [m/s], v_Mz [m/s], bgx [rad/s], bgy [rad/s], bgz [rad/s], bax [m/s^2], bay [m/s^2], baz [m/s^2]
1605267697379541522, 159121a508945f164100000000000000, 710501dc07945f160f00000000000000, -0.000406418741902921, -0.00151527320739966, -0.00576044141173101, 0.999972461766722, -0.00678807307294589, -0.00299557072945311, 0.000155974876919653, -0.000406418741902921, -0.00151527320739966, -0.00576044141173101, 0.999972461766722, -0.00678807307294589, -0.00299557072945311, 0.000155974876919653, -0.00457200208952407, 0.00242902819036611, 0.010756603989178, -0.000272917911689276, -0.000652557583731942, 0.000285268796105338, -5.71148128474198e-05, -2.97578598847134e-05, 0.00119115066927201
1605267700479488021, 9e9dd15509945f166a01000000000000, 710501dc07945f160f00000000000000, -0.00487802736447815, -0.000819301438405985, 0.00282233304990092, 0.999984443708182, -0.0055676188763856, 0.000318787137899961, 0.000111069551470469, -0.00487802736447815, -0.000819301438405985, 0.00282233304990092, 0.999984443708182, -0.0055676188763856, 0.000318787137899961, 0.000111069551470469, -3.01066272270792e-05, 0.000100133963295005, 0.00214440855998861, -0.0023431576449341, -0.00307788923393909, 0.000880918851627932, -0.000220431596877565, -0.00139121035877222, 0.11831350352739
1605267703579433805, e234790e0a945f16a102000000000000, 710501dc07945f160f00000000000000, -0.00529453782651478, -0.00104966971181698, 0.00301146212491697, 0.999983853810006, -0.00566740760201237, 0.000371527195016514, 0.000185951352843682, -0.00529453782651478, -0.00104966971181698, 0.00301146212491697, 0.999983853810006, -0.00566740760201237, 0.000371527195016514, 0.000185951352843682, -0.000756633395794102, -0.000572458897648655, 0.000437573755051996, -0.00262148810849753, -0.00355110851150093, 0.000974000102507143, -0.00037437635957171, -0.00152606364656953, 0.121742268597083
1605267704379416114, 2d14753e0a945f16f102000000000000, 710501dc07945f160f00000000000000, -0.0050514340345212, -0.0010004953179329, 0.00320690501704877, 0.999984046915267, -0.00563333500588142, 0.000396655763971962, 0.000118810275859003, -0.0050514340345212, -0.0010004953179329, 0.00320690501704877, 0.999984046915267, -0.00563333500588142, 0.000396655763971962, 0.000118810275859003, -0.000410593418686865, 0.000147279906399639, 0.00141711059354773, -0.00265004683612523, -0.0036422453906773, 0.000996777288833626, -0.000451354814591871, -0.00153652295413432, 0.122269319765575
1605267705479409820, 3873ab860a945f16501f000000000000, 710501dc07945f160f00000000000000, -0.00518501009402581, -0.00115541374514193, 0.00321668764185098, 0.999983933855101, -0.00565397449102428, 0.000372925236506696, 0.000159783917958584, -0.00518501009402581, -0.00115541374514193, 0.00321668764185098, 0.999983933855101, -0.00565397449102428, 0.000372925236506696, 0.000159783917958584, -9.21518864365206e-05, -0.000260424047374371, 0.000259628117794934, -0.002728531373725, -0.00368934354404935, 0.00100719022378028, -0.000344771288290626, -0.00152238443697991, 0.122905222888669
1605267706479392415, a2d4f0bb0a945f16ad1f000000000000, 710501dc07945f160f00000000000000, -0.00505215755105402, -0.0010613366169329, 0.0028699092409997, 0.999983518641648, -0.00572703668983606, 0.000381183971407684, 0.00013488736886381, -0.00505215755105402, -0.0010613366169329, 0.0028699092409997, 0.999983518641648, -0.00572703668983606, 0.000381183971407684, 0.00013488736886381, -5.17357035191541e-05, 0.000239727914124818, 0.000323048873151296, -0.00275383933995628, -0.00373287381611773, 0.00102539500841976, -0.000321533532467295, -0.0015869387003271, 0.123016841958572
1605267707579376346, a13ff0020b945f162320000000000000, 710501dc07945f160f00000000000000, -0.00524963458436533, -0.00111112931362518, 0.00284253448905713, 0.999983395305837, -0.00574689929451717, 0.000386084916068762, 0.000182207428853447, -0.00524963458436533, -0.00111112931362518, 0.00284253448905713, 0.999983395305837, -0.00574689929451717, 0.000386084916068762, 0.000182207428853447, -8.82187602293611e-06, -2.95026520429778e-05, 0.000197725999411985, -0.00277803629749817, -0.00376089655055244, 0.00103958950728491, -0.000415237231663518, -0.00158748604557899, 0.123016116497895
1605267708579360610, 9346be390b945f168420000000000000, 710501dc07945f160f00000000000000, -0.0054935506305229, -0.00127822391143173, 0.0025310211081458, 0.999982919677848, -0.00582832081479932, 0.000354308147687226, 0.00025591948563699, -0.0054935506305229, -0.00127822391143173, 0.0025310211081458, 0.999982919677848, -0.00582832081479932, 0.000354308147687226, 0.00025591948563699, -0.000997617769250142, -3.54630188782306e-05, -0.000393008772071611, -0.00277275078223533, -0.00375724067116933, 0.00104500694075536, -0.000285020805394341, -0.00160295621206721, 0.122983577489959
1605267709679345733, b30d9f7a0b945f16ee20000000000000, 710501dc07945f160f00000000000000, -0.00548125590836349, -0.00125529624080387, 0.00310412869457882, 0.999983610545756, -0.00570590759053198, 0.000392719681955764, 0.000258900935015633, -0.00548125590836349, -0.00125529624080387, 0.00310412869457882, 0.999983610545756, -0.00570590759053198, 0.000392719681955764, 0.000258900935015633, -0.000608261393164524, -0.000511573450245047, 5.94546565886865e-05, -0.00279986434704534, -0.00381524826469562, 0.00106838764680225, -0.000349984868389377, -0.0015297189970349, 0.123028160146579
1605267710679356700, 488ec3b50b945f165221000000000000, 710501dc07945f160f00000000000000, -0.00579990416644258, -0.00136956013907556, 0.0029405589998045, 0.999983327595033, -0.00575275682268477, 0.000390494836154584, 0.000312785369284519, -0.00579990416644258, -0.00136956013907556, 0.0029405589998045, 0.999983327595033, -0.00575275682268477, 0.000390494836154584, 0.000312785369284519, -0.000324190869259726, -0.00055272970096215, -0.000556877099991445, -0.00282212625153698, -0.00382730700024, 0.00107876294758582, -0.000351571796108872, -0.00156737007667379, 0.123130576504624
